dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
10/1/03,18.123,0.324,Shanghai,China,31.35N,120.63E
11/1/03,13.025,0.137,Shanghai,China,31.35N,120.63E
12/1/03,5.943,0.268,Shanghai,China,31.35N,120.63E
1/1/04,3.877,0.197,Shanghai,China,31.35N,120.63E
2/1/04,8.355,0.146,Shanghai,China,31.35N,120.63E
3/1/04,10.034,0.302,Shanghai,China,31.35N,120.63E
4/1/04,16.446,0.273,Shanghai,China,31.35N,120.63E
5/1/04,21.159,0.201,Shanghai,China,31.35N,120.63E
6/1/04,24.734,0.519,Shanghai,China,31.35N,120.63E
7/1/04,29.555,0.186,Shanghai,China,31.35N,120.63E
8/1/04,28.598,0.323,Shanghai,China,31.35N,120.63E
9/1/04,23.751,0.237,Shanghai,China,31.35N,120.63E
10/1/04,18.3,0.255,Shanghai,China,31.35N,120.63E
11/1/04,14.041,0.17,Shanghai,China,31.35N,120.63E
12/1/04,8.042,0.248,Shanghai,China,31.35N,120.63E
1/1/05,2.628,0.203,Shanghai,China,31.35N,120.63E
2/1/05,3.901,0.218,Shanghai,China,31.35N,120.63E
3/1/05,8.927,0.22,Shanghai,China,31.35N,120.63E
4/1/05,17.724,0.264,Shanghai,China,31.35N,120.63E
5/1/05,20.796,0.168,Shanghai,China,31.35N,120.63E
6/1/05,26.724,0.189,Shanghai,China,31.35N,120.63E
7/1/05,29.129,0.18,Shanghai,China,31.35N,120.63E
8/1/05,27.733,0.229,Shanghai,China,31.35N,120.63E
9/1/05,25.819,0.353,Shanghai,China,31.35N,120.63E
10/1/05,18.39,0.189,Shanghai,China,31.35N,120.63E
11/1/05,14.726,0.248,Shanghai,China,31.35N,120.63E
12/1/05,4.472,0.202,Shanghai,China,31.35N,120.63E
1/1/06,5.02,0.21,Shanghai,China,31.35N,120.63E
2/1/06,5.117,0.141,Shanghai,China,31.35N,120.63E
3/1/06,11.187,0.363,Shanghai,China,31.35N,120.63E
4/1/06,16.594,0.432,Shanghai,China,31.35N,120.63E
5/1/06,20.777,0.312,Shanghai,China,31.35N,120.63E
6/1/06,25.741,0.257,Shanghai,China,31.35N,120.63E
7/1/06,29.084,0.178,Shanghai,China,31.35N,120.63E
8/1/06,29.697,0.363,Shanghai,China,31.35N,120.63E
9/1/06,23.07,0.143,Shanghai,China,31.35N,120.63E
10/1/06,21.104,0.197,Shanghai,China,31.35N,120.63E
11/1/06,14.637,0.182,Shanghai,China,31.35N,120.63E
12/1/06,6.945,0.208,Shanghai,China,31.35N,120.63E
1/1/07,4.532,0.138,Shanghai,China,31.35N,120.63E
2/1/07,9.156,0.186,Shanghai,China,31.35N,120.63E
3/1/07,11.667,0.127,Shanghai,China,31.35N,120.63E
4/1/07,15.528,0.168,Shanghai,China,31.35N,120.63E
5/1/07,22.832,0.155,Shanghai,China,31.35N,120.63E
6/1/07,25.001,0.231,Shanghai,China,31.35N,120.63E
7/1/07,29.232,0.309,Shanghai,China,31.35N,120.63E
8/1/07,29.119,0.175,Shanghai,China,31.35N,120.63E
9/1/07,24.415,0.154,Shanghai,China,31.35N,120.63E
10/1/07,19.266,0.156,Shanghai,China,31.35N,120.63E
11/1/07,12.744,0.233,Shanghai,China,31.35N,120.63E
12/1/07,8.017,0.231,Shanghai,China,31.35N,120.63E
1/1/08,3.059,0.187,Shanghai,China,31.35N,120.63E
2/1/08,3.393,0.08,Shanghai,China,31.35N,120.63E
3/1/08,11.279,0.16,Shanghai,China,31.35N,120.63E
4/1/08,15.754,0.183,Shanghai,China,31.35N,120.63E
5/1/08,21.625,0.191,Shanghai,China,31.35N,120.63E
6/1/08,24.04,0.31,Shanghai,China,31.35N,120.63E
7/1/08,29.603,0.175,Shanghai,China,31.35N,120.63E
8/1/08,27.765,0.277,Shanghai,China,31.35N,120.63E
9/1/08,25.097,0.184,Shanghai,China,31.35N,120.63E
10/1/08,19.866,0.183,Shanghai,China,31.35N,120.63E
11/1/08,12.506,0.181,Shanghai,China,31.35N,120.63E
12/1/08,6.705,0.24,Shanghai,China,31.35N,120.63E
1/1/09,3.25,0.228,Shanghai,China,31.35N,120.63E
2/1/09,8.329,0.177,Shanghai,China,31.35N,120.63E
3/1/09,10.31,0.117,Shanghai,China,31.35N,120.63E
4/1/09,16.271,0.233,Shanghai,China,31.35N,120.63E
5/1/09,21.779,0.196,Shanghai,China,31.35N,120.63E
6/1/09,26.214,0.174,Shanghai,China,31.35N,120.63E
7/1/09,28.56,0.266,Shanghai,China,31.35N,120.63E
8/1/09,27.799,0.279,Shanghai,China,31.35N,120.63E
9/1/09,24.671,0.227,Shanghai,China,31.35N,120.63E
10/1/09,20.325,0.27,Shanghai,China,31.35N,120.63E
11/1/09,10.885,0.273,Shanghai,China,31.35N,120.63E
12/1/09,5.751,0.195,Shanghai,China,31.35N,120.63E
1/1/10,4.635,0.159,Shanghai,China,31.35N,120.63E
2/1/10,6.886,0.17,Shanghai,China,31.35N,120.63E
3/1/10,9.237,0.274,Shanghai,China,31.35N,120.63E
4/1/10,12.86,0.277,Shanghai,China,31.35N,120.63E
5/1/10,20.827,0.207,Shanghai,China,31.35N,120.63E
6/1/10,24.184,0.294,Shanghai,China,31.35N,120.63E
7/1/10,28.615,0.256,Shanghai,China,31.35N,120.63E
8/1/10,30.128,0.256,Shanghai,China,31.35N,120.63E
9/1/10,25.361,0.233,Shanghai,China,31.35N,120.63E
10/1/10,18.032,0.163,Shanghai,China,31.35N,120.63E
11/1/10,13.149,0.202,Shanghai,China,31.35N,120.63E
12/1/10,7.067,0.325,Shanghai,China,31.35N,120.63E
1/1/11,0.7,0.228,Shanghai,China,31.35N,120.63E
2/1/11,5.583,0.148,Shanghai,China,31.35N,120.63E
3/1/11,9.176,0.155,Shanghai,China,31.35N,120.63E
4/1/11,16.022,0.203,Shanghai,China,31.35N,120.63E
5/1/11,21.481,0.268,Shanghai,China,31.35N,120.63E
6/1/11,24.638,0.35,Shanghai,China,31.35N,120.63E
7/1/11,29.253,0.4,Shanghai,China,31.35N,120.63E
8/1/11,27.806,0.33,Shanghai,China,31.35N,120.63E
9/1/11,23.782,0.082,Shanghai,China,31.35N,120.63E
10/1/11,18.371,0.147,Shanghai,China,31.35N,120.63E
11/1/11,15.798,0.344,Shanghai,China,31.35N,120.63E
12/1/11,5.606,0.332,Shanghai,China,31.35N,120.63E
1/1/12,3.875,0.306,Shanghai,China,31.35N,120.63E
2/1/12,3.928,0.233,Shanghai,China,31.35N,120.63E
3/1/12,9.445,0.24,Shanghai,China,31.35N,120.63E
4/1/12,17.525,0.317,Shanghai,China,31.35N,120.63E
5/1/12,21.454,0.225,Shanghai,China,31.35N,120.63E
6/1/12,24.565,0.5,Shanghai,China,31.35N,120.63E
7/1/12,29.441,0.368,Shanghai,China,31.35N,120.63E
8/1/12,28.567,0.203,Shanghai,China,31.35N,120.63E
9/1/12,23.217,0.419,Shanghai,China,31.35N,120.63E
10/1/12,18.979,0.456,Shanghai,China,31.35N,120.63E
11/1/12,11.53,0.375,Shanghai,China,31.35N,120.63E
12/1/12,5.168,0.602,Shanghai,China,31.35N,120.63E
1/1/13,3.677,0.367,Shanghai,China,31.35N,120.63E
2/1/13,6.127,0.382,Shanghai,China,31.35N,120.63E
3/1/13,10.935,0.302,Shanghai,China,31.35N,120.63E
4/1/13,15.077,0.39,Shanghai,China,31.35N,120.63E
5/1/13,21.292,0.265,Shanghai,China,31.35N,120.63E
6/1/13,24.637,1.031,Shanghai,China,31.35N,120.63E
7/1/13,30.623,1.371,Shanghai,China,31.35N,120.63E
8/1/13,30.493,0.603,Shanghai,China,31.35N,120.63E
